no,tango,kana,en,zh,vi
0427,立場,たちば,Position,立场,"vị trí, hoàn cảnh, lập trường"
0428,だっこ,,"Hug, embrace",抱,ôm
0429,旅,たび,Journey,旅行,"chuyến đi, đi du lịch"
0430,試し,ためし,Try out,尝试,thử
0431,段階,だんかい,Stage,阶段,giai đoạn
0432,団結,だんけつ,Unite,团结,đoàn kết
0433,断定,だんてい,"Assert, deem",断定、判定,kết luận
0434,単独,たんどく,Alone,单独,"một mình, đơn độc"
0435,たんぱく質,たんぱくしつ,Protein,蛋白质,chất đạm
0436,地位,ちい,Status,地位,"địa vị, vị trí"
0437,チームワーク,,Teamwork,团队协作,làm việc theo nhóm
0438,知恵,ちえ,Wisdom,智慧、经验,"trí tuệ, sự khôn ngoan"
0439,チェンジ,,Change,变换、改变,"thay, thay đổi"
0440,地点,ちてん,"Point, site",地点,"điểm, địa điểm"
0441,チャンネル,,Channel,频道,kênh
0442,中継,ちゅうけい,"Relay, transmit",转播,"truyền, chiếu"
0443,中古,ちゅうこ,Second-hand,二手,cũ
0444,忠告,ちゅうこく,Advise,忠告、劝告,"khuyên bảo, răn, cảnh báo"
0445,中性,ちゅうせい,Neutral,中性,trung tính
0446,抽選,ちゅうせん,"Lottery, draw",抽签、抓阄,bốc thăm
0447,中立,ちゅうりつ,Neutral,中立,trung lập
0448,超過,ちょうか,Exceed,超过,vượt quá
0449,調整,ちょうせい,Adjust,调整,điều chỉnh
0450,調節,ちょうせつ,Adjust,调节,"điều chỉnh, điều tiết, điều khiển"
0451,調理,ちょうり,Cook,烹饪,nấu
0452,調和,ちょうわ,Harmony,协调、和谐,"hòa hợp, hài hòa"
0453,通常,つうじょう,Normal,通常、平常,"bình thường, thông thường"
0454,通信,つうしん,Communications,通信、通讯,"truyền thông, truyền tin"
0455,通用,つうよう,Be commonly used,通用、管用,"dùng, sử dụng"
0456,通路,つうろ,Passageway,通路、通道,"đường đi, lối đi"
0457,粒,つぶ,Grain,粒、颗粒,hạt
0458,提案,ていあん,"Proposal, suggestion",提案、建议,đề xuất
0459,抵抗,ていこう,Resist,抵抗、反抗、逆反,"chống lại, kháng cự, chống đối"
0460,停止,ていし,Stop,停止,"đình chỉ, dừng lại, ngưng, treo"
0461,手入れ,ていれ,Care,修整、养护,"chăm sóc, bảo dưỡng"
0462,データ,,"Data, electronic file",数据,dữ liệu
0463,徹底,てってい,Be thorough about,彻底、贯彻,triệt để
0464,徹夜,てつや,Be up all night,热夜、通宵,thâu đêm
0465,手荷物,てにもつ,Baggage,随身行李,hành lý xách tay
0466,手間,てま,"Effort, trouble",工夫,thời gian công sức
0467,デモ①（デモンストレーション）,,Demonstration,演示,điễu hành
0468,電圧,でんあつ,Voltage,电压,điện áp
0469,展開,てんかい,"Progress, happen",展开、发展,triển khai
0470,天国,てんごく,Heaven,天国、天堂,thiên đường
0471,展示,てんじ,Exhibit,展示,trưng bày
0472,電子,でんし,Electron,电子,điện tử
0473,テンポ,,Tempo,进展速度、节奏,"nhịp điệu, tiết tấu"
0474,電流,でんりゅう,Current,电流,dòng điện
0475,電力,でんりょく,Power,电力,điện năng
0476,統一,とういつ,Unity,统一,"đồng nhất, giống nhau, thống nhất"
0477,同一,どういつ,Same,同一、相同,"như nhau, giống nhau"
0478,動機,どうき,"Motivation, interest",动机,động cơ
0479,同居,どうきょ,"Live with, cohabit",同居、同住,sống cùng
0480,統計,とうけい,Statistics,统计,thống kê
0481,動作,どうさ,Movements,动作,động tác
0482,登場,とうじょう,"Appear, emerge",登场、出现,"xuất hiện, ra mắt"
0483,同情,どうじょう,"Sympathize, feel sorry for",同情,"đồng cảm, thương cảm"
0484,道徳,どうとく,Morals,道德、品德,đạo đức
0485,導入,どうにゅう,Introduce,引进,giới thiệu
0486,等分,とうぶん,Divide equally,等分、均分,chia đều
0487,灯油,とうゆ,Kerosene,煤油,dầu hỏa
0488,同様,どうよう,Similar,同样,"tương tự, như nhau"
0489,登録,とうろく,Register,登录、注册,đăng ký
0490,毒,どく,Poison,毒,độc
0491,特集,とくしゅう,Feature (magazine),特辑、专刊,"đặc san, số đặc biệt, đăng chuyên về"
0492,特長,とくちょう,Special feature,特长、优点,"tính năng nổi bật, đặc tính"
0493,特定,とくてい,Specify,特定、确定,"xác định, chỉ ra"
0494,得点,とくてん,Goal,取得分数,"ghi bàn, giành điểm"
0495,独立,どくりつ,Independence,独立,"độc lập,"
0496,戸締まり,とじまり,Door lock,关窗锁门,khóa cửa
0497,届け出,とどけで,"Report, notice",申报,"báo cáo, thông báo"
0498,取り扱い,とりあつかい,Handle,使用、操作,sử dụng
0499,取り組み,とりくみ,Measures,积极举措,nỗ lực
0500,仲,なか,Relationship,交情、关系,quan hệ
0501,仲直り,なかなおり,"Reconcile, make up with",和好、和解,làm lành
0502,中身,なかみ,Content,里面的东西,bên trong
0503,無し,なし,"None, no, without",没有,không có
0504,謎,なぞ,Mystery,谜,câu đố
0505,納得,なっとく,"Acceptance, agreement",理解、信服、认可,"thỏa mãn, hài lòng"
0506,並木,なみき,Row of trees,街道树,hàng cây
0507,ニーズ,,Needs,需求,nhu cầu
0508,二重,にじゅう,Double,双重、二重,"nhân đôi, gấp đôi"
0509,日常,にちじょう,Daily,日常、平时,"thường ngày, hàng ngày"
0510,日課,にっか,Routine,每天必做的事情,công việc hàng ngày
0511,日程,にってい,Schedule,日程、计划,lịch trình
0512,入会,にゅうかい,"Enrol in, join",入会、参加,"nhập hội, gia nhập"
0513,入社,にゅうしゃ,Join a company,进公司,vào công ty
0514,入賞,にゅうしょう,Win a prize,获奖、得奖,đạt giải
0515,入浴,にゅうよく,Bathe,洗澡、入浴,tắm
0516,熱中,ねっちゅう,"Enthuse over, be crazy about",热衷、着迷,mải mê
0517,熱湯,ねっとう,Hot water,热水、开水,nước sôi
0518,農家,のうか,Farmer,农户、农民,nông dân
0519,農村,のうそん,Countryside,农村、乡村,nông thôn
0520,濃度,のうど,Concentration,浓度,nồng độ
0521,ノウハウ,,Know-how,技术、诀窍,"bí quyết, kỹ thuật"
0522,農薬,のうやく,Pesticide,农药,thuốc trừ sâu
0523,場,ば,Place,场所、场合,nơi
0524,背景,はいけい,Background,背景,"bối cảnh, nền"
0525,廃止,はいし,Abolish,废除、取消,bãi bỏ
0526,配送,はいそう,Delivery,发送、配送,giao hàng
0527,配布,はいふ,Distribute,分发、散发,phân phát
0528,歯車,はぐるま,Gear,齿轮,bánh răng
0529,パス,,"Pass, clear",通过、跳过,"đỗ, qua lượt"
0530,パターン,,Pattern,样式、模式,"hình mẫu, khuôn mẫu"
0531,働き,はたらき,"Work, action",功能、工作,"hoạt động, chức năng, công việc"
0532,パック,,Pack,包装,đóng gói
0533,発射,はっしゃ,"Fire, shoot",发射,phóng
0534,発想,はっそう,Idea,想法,"suy nghĩ, tư tưởng"
0535,発展,はってん,Development,发展,phát triển
0536,発電,はつでん,Power generation,发电,phát điện
0537,パニック,,Panic,恐慌,hoảng loạn
0538,バランス,,Balance,平衡、均衡,cân bằng
0539,パワー,,Power,力量、马力,"khỏe, có lực"
0540,判,はん,Size (of paper),纸张规格,"khổ (giấy), kích cỡ"
0541,番,ばん,"Turn, watch over",号、看守,"lượt, số"
0542,反映,はんえい,Reflect,反映,"phản chiếu, chiểu theo"
0543,反抗,はんこう,"Resist, oppose",反抗、违抗,"chống lại, chống đối"
0544,反則,はんそく,"Foul, violation",犯规,phạm quy
0545,反応,はんのう,Reaction,反应、反响,phản ứng
0546,ピーク,,Peak,顶峰,"đỉnh cao, đỉnh"
0547,引き分け,ひきわけ,Draw,平手、打平,hòa
0548,非常,ひじょう,Emergency,紧急,khẩn cấp
0549,ビタミン,,Vitamin,维生素,vitamin
0550,必需品,ひつじゅひん,Necessity,必需品,đồ dùng cần thiết
0551,必着,ひっちゃく,Must arrive (by),必须送达,"phải gửi tới, phải gửi đến"
0552,否定,ひてい,Deny,否定、否认,"phủ nhận, bác bỏ"
0553,人混み/人込み,ひとごみ,"Crowd, throng",拥挤的人群,đám đông
0554,一休み,ひとやすみ,"Rest, break",歇一会儿,nghỉ giải lao
0555,批判,ひはん,Criticize,批评、批判,"phê phán, chỉ trích"
0556,批評,ひひょう,Review,评论,phê bình
0557,評価,ひょうか,"Evaluate, rate",评价,đánh giá
0558,表現,ひょうげん,Express,表达、表现,thể hiện
0559,表情,ひょうじょう,Facial expression,表情、神情,"vẻ mặt, nét mặt"
0560,標本,ひょうほん,Specimen,标本,tiêu bản
0561,びら,,Poster,传单,"tờ quảng cáo, tờ rơi"
0562,肥料,ひりょう,Fertilizer,肥料,phân bón
0563,比例,ひれい,Be proportionate to,比例、正比,tỉ lệ thuận
0564,ピント,,Focus,焦点,"tâm điểm, tâm ngắm"
0565,ファーストフード,,Fast food,快餐,thức ăn nhanh
0566,ファイト,,Fight,斗志、干劲,ý chí chiến đấu
0567,風景,ふうけい,"Landscape, scene",风景、景色,phong cảnh
0568,ブーム,,"(Economic) boom, craze",流行、热潮,bùng nổ
0569,笛,ふえ,Whistle,笛子、哨子,còi
0570,不可,ふか,Not allowed,不得、不可、不允许,"không được, không cho phép"
0571,普及,ふきゅう,Spread,普及,phổ biến
0572,複数,ふくすう,Multiple,复数、两个以上,"rất nhiều, vô số, số nhiều"
0573,不在,ふざい,"Absent, away",不在、不在家,vắng mặt
0574,付属,ふぞく,Included,附属,"gắn kèm, đính kèm"
0575,負担,ふたん,"Burden, cost",承担、负担,đảm nhận
0576,物質,ぶっしつ,"Material, substance",物质,"vật chất, chất"
0577,沸騰,ふっとう,Boil,沸腾,sôi
0578,船便,ふなびん,Sea-mail,海运,gửi đường biển
0579,プライド,,"Pride, feelings",自尊心,lòng tự trọng
0580,プライバシー,,Privacy,隐私,sự riêng tư
0581,プラン,,Plan,计划,kế hoạch
0582,フリー,,Free,自由、免费,"miễn phí, tự do"
0583,プレッシャー,,"Pressure, stress",压力,áp lực
0584,分,ぶん,"Share, portion",份儿,phần
0585,分解,ぶんかい,"Decompose, break down",拆开、分解,"tháo rời, phân giải"
0586,分子,ぶんし,Molecule,分子,phân tử
0587,分析,ぶんせき,Analyze,分析,phân tích
0588,文明,ぶんめい,Civilization,文明,văn minh
0589,分野,ぶんや,Field,领域、方面,lĩnh vực
0590,分量,ぶんりょう,"Quantity, amount",分量,số lượng
0591,分類,ぶんるい,"Classify, sort",分类,phân loại
0592,ペア,,Pair,一对、一双,"cặp, đôi"
0593,閉会,へいかい,"Close, end",闭幕、闭会,"kết thúc, bế mạc"
0594,ベスト,,Best,最好、全力,"tốt nhất, hết sức"
0595,別居,べっきょ,Live apart,分居,"sống riêng, sống xa"
0596,便,べん①,Convenient,方便,thuận tiện
0597,ポイント,,Point,重点、积分,điểm
0598,冒険,ぼうけん,Adventure,冒险,mạo hiểm
0599,方針,ほうしん,"Policy, plan",方针,chính sách
0600,包装,ほうそう,Package,包装,"bọc, gói quà"
0601,法則,ほうそく,Law,法则,"quy luật, luật"
0602,報道,ほうどう,Report,报道,đưa tin
0603,ポーズ,,"Pause, pose",停顿、造型,"dừng, tạo dáng"
0604,保温,ほおん,Retain heat,保温,giữ ấm
0605,保護,ほご,Protect,保护,"bảo vệ,chăm sóc"
0606,誇り,ほこり,Pride,自豪,tự hào
0607,補助,ほじょ,Help,补助,"trợ giúp, hỗ trợ"
0608,保証,ほしょう,Guarantee,保证,bảo hành
0609,仏,ほとけ,Buddha,佛,tượng phật
0610,ボリューム,,"Substantial, volume",分量、音量,"lượng, âm lượng"
0611,本部,ほんぶ,Headquarters,本部、总部,trụ sở
0612,本名,ほんみょう,Real name,本名、真名,tên thật
0613,マークシート,,Mark sheet,答题卡,"bảng trả lời, bảng đánh dấu"
0614,摩擦,まさつ,Friction,摩擦,ma sát
0615,マスコミ（マスコミュニケーション）,,Media,媒体,phương tiện truyền thông
0616,街角,まちかど,Street corner,街角、街口,góc phố
0617,魔法,まほう,Magic,魔法,"phép thuật, ảo thuật"
0618,満点,まんてん,Full marks,满分,điểm tối đa
0619,見合い,みあい,Arrange (marriage),相亲,xem mắt
0620,見掛け,みかけ,"Look, appearance",外表,vẻ bề ngoài
0621,見方,みかた,Perspective,看法、观点,"cách nhìn, quan điểm"
0622,見込み,みこみ,Expectation,预计、期望,dự kiến
0623,未婚,みこん,Unmarried,未婚,chưa kết hôn
0624,水玉,みずたま,Polka dot,水珠,chấm bi
0625,ミスプリント,,Misprint,印刷错误,lỗi in nhầm
0626,ミックス,,Mix,混合,"trộn, pha lẫn"
0627,未定,みてい,Yet to be decided,未定,chưa quyết định
0628,身の回り,みのまわり,"Daily life, one’s things",身边、日常生活,việc vặt của bản thân
0629,身分,みぶん,Identity,身份、身份地位,"thân phận, danh tính"
0630,未満,みまん,"Less than, up to",未满,"dưới, chưa đủ"
0631,身元,みもと,Identity,身份、来历,nhân dạng
0632,名字,みょうじ,Surname,姓,họ
0633,魅力,みりょく,"Charm, appeal",魅力,"Sự thu hút, sự hấp dẫn"
0634,民間,みんかん,Private,民间,tư nhân
0635,無限,むげん,"Infinite, limitless",无限,vô hạn
0636,無視,むし,Ignore,无视,"bỏ qua, phớt lờ"
0637,無地,むじ,Solid color,素色,"vải trơn, không họa tiết"
0638,矛盾,むじゅん,Contradict,矛盾,mâu thuẫn
0639,無数,むすう,Countless,无数,vô số
0640,無駄遣い,むだづかい,Waste,不必要的花费,lãng phí
0641,無断,むだん,Without permission,擅自,không phép
0642,群れ,むれ,"Flock, herd",群、群体,đàn
0643,迷信,めいしん,Superstition,迷信,mê tín
0644,名簿,めいぼ,"Roster, name list",名单、名册,danh sách
0645,銘々,めいめい,"One by one, individually",各自、每个人,"mỗi người, mình"
0646,メイン,,Main,主要,chính
0647,目方,めかた,Weight,重量,trọng lượng
0648,飯,めし,"Rice, meal",饭,"cơm, bữa ăn"
0649,目じるし,めじるし,Landmark,标记,"dấu hiệu, mốc"
0650,メッセージ,,Message,信息,lời nhắn
0651,メリット,,"Merit, advantage",好处、优点,điểm lợi
0652,メロディー,,Melody,旋律,giai điệu
0653,面,めん,"Aspect, area; mask",面具、方面,"mặt nạ, mặt"
0654,綿,めん,Cotton,棉,cốt tôn
0655,面会,めんかい,Visit,见面、探望,thăm
0656,木材,もくざい,"Wood, timber",木材,gỗ
0657,目標,もくひょう,"Goal, aim",目标,mục tiêu
0658,元,もと,"Originally, previously",原来、原本,"nguyên là, vỗn dĩ"
0659,物音,ものおと,Sound,响动、动静,"âm thanh, tiếng động"
0660,物事,ものごと,Things,事物,"sự vật, sự việc"
0661,薬品,やくひん,Chemical substance,药品,dược phẩm
0662,役目,やくめ,Role,职责、任务,"nhiệm vụ, công việc, trách nhiệm"
0663,役割,やくわり,Role,角色、担当的职务,vai trò
0664,唯一,ゆいいつ,"Only, unique",唯一,duy nhất
0665,友好,ゆうこう,Friendship,友好,hữu hảo
0666,優先,ゆうせん,"Prioritize, put ahead of",优先,ưu tiên
0667,郵送,ゆうそう,Send by mail,邮寄,gửi bưu điện
0668,ユーモア,,Sense of humor,幽默,hài hước
0669,幽霊,ゆうれい,Ghost,幽灵,"hồn ma, ma"
0670,行方,ゆくえ,Whereabouts,去向、下落,tung tích
0671,油断,ゆだん,Careless,麻痹大意,"cẩu thả, lơ là"
0672,ユニホーム,,Uniform,制服,đồng phục
0673,用心,ようじん,"Beware of, be careful about",留神、提防,"cảnh giác, đề phòng"
0674,要素,ようそ,"Element, factor",要素、条件,yếu tố
0675,要点,ようてん,Point,要点,"điểm chính, điểm quan trọng"
0676,用途,ようと,Use,用途,"cách, mục đích"
0677,洋風,ようふう,Western-style,西式、西洋风格,phương Tây
0678,養分,ようぶん,Nutrient,养分,dinh dưỡng
0679,容量,ようりょう,Capacity,容量,dung tích
0680,予感,よかん,"Premonition, presentiment",预感,dự cảm
0681,汚れ,よごれ,Dirt,污渍、污垢,vết bẩn
0682,予測,よそく,"Predict, forecast",预测,"dự báo, ước lượng"
0683,よそ見,よそみ,Look away,走神、看其他地方,nhìn sang chỗ khác
0684,予備,よび,Reserves,预备、备用,dự trữ
0685,余裕,よゆう,"Leeway, time or capacity available for",宽裕、从容,"dư thừa, rảnh"
0686,ライン,,Line,线,"vạch, tiêu chuẩn"
0687,欄,らん,Column,栏,cột
0688,リード,,"Lead, spearhead",领导、引领,dẫn đầu
0689,利害,りがい,Interests,利害、得失,lợi ích
0690,離婚,りこん,Divorce,离婚,ly hôn
0691,リスト,,List,列表、清单,danh sách
0692,率,りつ,"Rate, ratio",率,tỉ lệ
0693,了解,りょうかい,Consent,知晓、谅解,chấp thuận
0694,両立,りょうりつ,"Reconcile, harmonize two opposing things",两者并立,tương thích
0695,礼儀,れいぎ,"Courtesy, good manners",礼仪,"phép lịch sự, lễ nghĩa"
0696,レース①,,Race,竞赛,cuộc đua
0697,レース②,,Lace,蕾丝,vải
0698,レクリエーション,,"Recreation, pastime",消遣、娱乐,giải trí
0699,レシピ,,Recipe,食谱、烹饪法,công thức
0700,連想,れんそう,(Make) association,联想,liên tưởng
0701,輪,わ,Ring,圆圈,vòng
0702,綿,わた,Cotton,棉花,bông
0703,和風,わふう,Japanese-style,日式、和风,kiểu Nhật
0704,運休,うんきゅう,Suspend (service),停运、停开,ngừng hoạt động
0705,運賃,うんちん,Fare,运费,"giá vận chuyển, giá vé"
0706,回送,かいそう,Return to depot (train),调回,không phục vụ
0707,快速,かいそく,Rapid (train),快速、高速度,tốc hành
0708,開通,かいつう,Open (road),开通、通车,"mở ra, khai thông"
0709,貨物,かもつ,Cargo,货物,hàng hóa
0710,漁船,ぎょせん,Fishing boat,渔船,thuyền đánh cá
0711,空席,くうせき,Vacancy,空位、空座,ghế trống
0712,下車,げしゃ,"Get off, alight",下车,xuống tàu
0713,欠航,けっこう,Be canceled (flight),航班取消,hủy (bay)
0714,航空,こうくう,"Aviation, planes",航空,hàng không
0715,始発,しはつ,"First train of the day, departure point",始发,xuất phát đầu tiên
0716,車道,しゃどう,Roadway,车道,đường cho ô tô
0717,終点,しゅうてん,Terminus,终点,điểm cuối
0718,乗客,じょうきゃく,Passenger,乘客,hành khách
0719,乗車,じょうしゃ,"Board, get on",乘车、上车,lên tàu (xe)
0720,ダイヤ（ダイヤグラム）,,Timetable,列车运行时刻表,Bảng giờ tàu
0721,脱線,だっせん,Derail,出轨、脱轨,trật bánh
0722,着陸,ちゃくりく,Land,着陆,hạ cánh
0723,直通,ちょくつう,"Directly, straight to",直通、直达,đi thẳng
0724,通行,つうこう,Passage,通过、通行,đi qua
0725,電車賃,でんしゃちん,Train fare,电车费,tiền tàu
0726,遠回り,とおまわり,Detour,绕远、绕道,đường vòng
0727,徒歩,とほ,"Walk, on foot",徒步、步行,đi bộ
0728,パンク,,Puncture,爆胎,xẹp lốp
0729,飛行,ひこう,Fly,飞行、航空,bay lên
0730,人通り,ひとどおり,Flow of people,来往行人,người đi lại
0731,標識,ひょうしき,Sign,标识、标志,biển báo
0732,フェリー,,Ferry,渡轮,phà
0733,不通,ふつう,Be interrupted,不通、断绝,tắc
0734,回り道,まわりみち,Detour,绕道、绕远,đường vòng
0735,道順,みちじゅん,Directions,路线,đường đi
0736,夜行,やこう,Night train or bus,夜间运行,đi đêm
0737,輸送,ゆそう,Transport,运输、运送,"vận chuyển, chở"
0738,離陸,りりく,Take off (plane),起飞,cất cánh
0739,列車,れっしゃ,Train,列车、火车,tàu hỏa
0740,ロープウエー,,Ropeway,索道,cáp treo
0741,アンテナ,,Antenna,天线,ăng ten
0742,井戸,いど,Well,井,giếng
0743,居間,いま,Living room,起居室,phòng khách
0744,インテリア,,Interior,室内装潢、装修,nội thất
0745,植木,うえき,Plant,栽种的树、盆栽的花木,cây cối
0746,裏口,うらぐち,Back door,后门、便门,cửa sau
0747,煙突,えんとつ,Chimney,烟筒、烟囱,ống khói
0748,温室,おんしつ,"Greenhouse, hothouse",温室、暖房,nhà kính
0749,家屋,かおく,House,房屋、住屋,tòa nhà
0750,垣根,かきね,"Fence, hedge",围墙,hàng rào
0751,花壇,かだん,Flower-bed,花坛,luống hoa
0752,客席,きゃくせき,Seating (at venue),座位、坐席、观众席,ghế khán giả
0753,校舎,こうしゃ,College building,校舍,tòa nhà (trong trường)
0754,高層,こうそう,High-rise,高层,tòa nhà cao tầng
0755,校庭,こうてい,Schoolyard,校园,sân trường
0756,公民館,こうみんかん,Public hall,文化馆,nhà văn hóa công cộng
0757,小屋,こや,"Hut, shed",小房子,chuồng nhỏ
0758,寺院,じいん,Temple,寺院,ngôi chùa
0759,施設,しせつ,Facility,设施,cơ sở
0760,自宅,じたく,Home,自家、私宅,nhà riêng
0761,住居,じゅうきょ,"Residence, home",住所、住宅,nhà ở
0762,出張所,しゅっちょうじょ,"Sub-office, branch",办事处,nơi công tác
0763,照明,しょうめい,Illumination,照明,"đèn, chiếu sáng"
0764,書斎,しょさい,Study (room),书房、书斋,"thư phòng, phòng đọc sách"
0765,ショップ,,Shop,商店,cửa hàng
0766,スタジオ,,Studio,摄影棚、录音室,phòng thu
0767,ステージ,,Stage,舞台,sân khấu
0768,住まい,すまい,"Home, residence",住所,chỗ ở
0769,税務署,ぜいむしょ,Tax office,税务局,cục thuế
0770,正門,せいもん,Main entrance,正门、大门,cổng chính
0771,設備,せつび,Facility,设备,thiết bị
0772,倉庫,そうこ,Warehouse,仓库,"nhà kho, kho"
0773,ダム,,Dam,水库、水坝,đập
0774,タワー,,Tower,塔,tháp
0775,手すり,てすり,Handrail,扶手、栏杆,tay vịn
0776,鉄筋,てっきん,"Reinforcing steel, reinforced concrete",钢筋、钢筋混凝土,"cốt thép chịu lực, bê tông cốt thép"
0777,塔,とう,Tower,塔,tháp
0778,内線,ないせん,Extension,电话内线,"nội tuyến, nội bộ"
0779,舞台,ぶたい,Stage,舞台,"vũ đài, sân khấu"
0780,噴水,ふんすい,Fountain,喷泉、喷水池,phun nước
0781,塀,へい,Wall,墙、围墙,tường
0782,別荘,べっそう,Holiday home,别墅,biệt thự
0783,牧場,ぼくじょう,Ranch,牧场,trang trại
0784,幕,まく,Curtain,幕、帐幕,màn
0785,モーター,,Motor,马达、发动机,động cơ
0786,木造,もくぞう,Wooden,木造、木结构,bằng gỗ
0787,役場,やくば,Public office,办事处,tòa thị chính
0788,屋台,やたい,"Stall, booth",小摊,quầy hàng
0789,宿,やど,"Inn, lodging",旅店,quán trọ
0790,レーダー,,Radar,雷达,ra đa
0791,雨具,あまぐ,Rain gear,雨具,áo mưa
0792,網,あみ,Net,网,lưới
0793,板,いた,"Board, panel",木板,tấm
0794,印鑑,いんかん,Seal,印章、图章,dấu
0795,おむつ,,Diaper,尿布,"bỉm, tã"
0796,籠,かご,Basket,筐、篮、笼,giỏ
0797,刀,かたな,Sword,刀,thanh gươm
0798,かみそり,,Razor,剃刀、剃头刀,dao cạo
0799,器具,きぐ,Instrument,器具,dụng cụ
0800,くぎ,,Nail,钉子,đinh
0801,鎖,くさり,Chain,链子,xích
0802,くし,,Comb,梳子,lược
0803,串,くし,"Skewer, spit",串,xiên
0804,グッズ,,Goods,商品、产品,món đồ
0805,顕微鏡,けんびきょう,Microscope,显微镜,kính hiển vi
0806,コンパス,,Compass,圆规,com-pa
0807,シール,,Seal,贴纸,nhãn
0808,磁石,じしゃく,Magnet,磁铁、指南针,"nam châm, la bàn"
0809,蛇口,じゃぐち,Faucet,水龙头,vòi nước
0810,受話器,じゅわき,Receiver,听筒,ống nghe điện thoại
0811,水筒,すいとう,"Water bottle, thermos flask",水壶,bình nước
0812,栓,せん,Plug,塞子,nút bồn
0813,ちりとり,,Dustpan,簸箕,hót rác
0814,つえ,,"Stick, cane",拐杖,gậy
0815,綱,つな,Rope,粗绳、绳索,dây thừng
0816,テント,,Tent,帐篷、营帐,lều
0817,名札,なふだ,"Nameplate, name-tag",名牌,thẻ ten
0818,縄,なわ,"Rope, string",绳子,"dây chão, day thừng"
0819,日用品,にちようひん,Daily items,日用品,đồ dùng hàng ngày
0820,ねじ,,Screw,螺丝、螺丝钉,đinh ốc
0821,のこぎり,,Saw,锯子,cưa
0822,パイプ,,Pipe,管子、管道,đường ống
0823,はかり,,Scale,秤,trọng lượng
0824,はしご,,Ladder,梯子,thang
0825,布巾,ふきん,Cloth,抹布,khăn lau
0826,ブザー,,Buzzer,蜂鸣器,"còi, chuông"
0827,札,ふだ,"Tag, card",牌子,"thẻ, phiếu"
0828,風呂敷,ふろしき,Wrapping cloth,包东西的方布巾,khăn bọc đồ
0829,棒,ぼう,"Rod, pole",棒子、棍子,gậy
0830,望遠鏡,ぼうえんきょう,Telescope,望远镜,kính viễn vọng
0831,マップ,,Map,地图、线路图,bản đồ
0832,物差し,ものさし,Ruler,尺子,thước
0833,容器,ようき,Container,容器,thùng chứa
0834,あくび,,Yawn,哈欠,ngáp
0835,遺伝,いでん,"Be inherited (genetically), be passed",遗传,di truyền
0836,いびき,,Snoring,鼾声、呼噜,ngày
0837,医療,いりょう,Medical care,医疗,"y tế, sự chữa trị"
0838,生まれつき,うまれつき,"By nature, innately",天生,"bẩm sinh, vốn sẵn"
0839,衛生,えいせい,"Sanitation, hygiene",卫生,vệ tinh
0840,介護,かいご,Care,看护、护理,chăm sóc
0841,顔色,かおいろ,Complexion,脸色、气色,sắc mặt
0842,カプセル,,Capsule,胶囊、密封舱,thuốc con nhộng
0843,過労,かろう,Overwork,过度劳累,quá sức
0844,感染,かんせん,"Infect, transmit",感染,"truyền nhiễm, lây"
0845,看病,かんびょう,"Nurse, care for",护理、看护,chăm sóc (người bệnh)
0846,記憶,きおく,Memory,记忆、记得,ghi nhớ
0847,傷口,きずぐち,"Wound, injury",伤口,vết thương
0848,喫煙,きつえん,Smoking,吸烟,hút thuốc
0849,救急病院,きゅうきゅうびょういん,"Emergency hospital, A&E",急救医院,bệnh viện cấp cứu
0850,休息,きゅうそく,"Rest, break",休息,nghỉ
0851,休養,きゅうよう,"Rest, break",休养,"nghỉ dưỡng, nghỉ ngơi"
0852,筋肉,きんにく,Muscle,肌肉,cơ bắp
0853,結核,けっかく,Tuberculosis,结核、结核病,ho lao
0854,血管,けっかん,Blood vessel,血管,mạch máu
0855,検診,けんしん,Examination,检查,khám sức khỏe
0856,高熱,こうねつ,High fever,高热,sốt cao
0857,殺菌,さっきん,Sterilize,杀菌,tiệt trùng
0858,寒け,さむけ,Cold,发冷,ớn lạnh
0859,死,し,Death,死、死亡,cái chết
0860,姿勢,しせい,Posture,姿势、态度,tư thế
0861,指紋,しもん,Fingerprint,指纹,vân tay
0862,しゃっくり,,Hiccup,打嗝,nấc
0863,重傷,じゅうしょう,Seriously hurt,重伤,bị thương nặng
0864,重体,じゅうたい,Critical state,病情危急,"nguy kịch, bị thương nặng"
0865,出産,しゅっさん,Birth,生产、分娩,sinh con
0866,寿命,じゅみょう,Lifespan,寿命,tuổi thọ
0867,消化,しょうか,Digest,消化,tiêu hóa
0868,錠剤,じょうざい,Tablet,药片,thuốc viên
0869,上半身,じょうはんしん,Upper body,上半身,nửa thân trên
0870,視力,しりょく,"Vision, eyesight",视力,thị lực
0871,心身,しんしん,Mental and physical,身心,tinh thần thể chất
0872,身体,しんたい,Body,身体,"thân thể, cơ thể"
0873,診断,しんだん,Diagnosis,诊断,chẩn đoán
0874,人命,じんめい,Life,人命,"cuộc sống, tính mạng (con người)"
0875,性,せい,Sex,性、性别,giới tính
0876,精神,せいしん,Spirit,精神,tinh thần
0877,生存,せいぞん,Survive,生存,sinh tồn
0878,生命,せいめい,Life,生命,"sinh mệnh, cuộc sống"
0879,全身,ぜんしん,Whole body,全身,"toàn thân, toàn bộ cơ thể"
0880,体調,たいちょう,Physical condition,身体状况,tình trạng sức khỏe
0881,ため息,ためいき,Sigh,叹息、叹气,thở dài
0882,誕生,たんじょう,Birth,诞生、出生,"ra đời, chào đời"
